UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2023,999,334914895,165749400,169165495,125606290,126459414,22001207,23756226,2265334,2221083,10289070,11097844,456265,443550,5131234,5187378,130197821,131077456,24377340,26201762,3697405,3709816,12206968,13000669,895495,884514,132774469,136921281,96949823,98482761,20300066,22013022,1199754,1232967,9937340,10748085,327068,322116,4060418,4122330,100583310,102150910,22163065,23940041,2197714,2291844,11560536,12357587,669659,667673,32974931,32244214,28656467,27976653,1701141,1743204,1065580,988116,351730,349759,129197,121434,1070816,1065048,29614511,28926546,2214275,2261721,1499691,1417972,646432,643082,225836,216841
R,7,2023,0,3648654,1864508,1784146,1286961,1227592,302357,294247,33988,32589,107131,101237,7349,6925,126722,121556,1403506,1339359,372512,361673,57659,55368,153922,145963,16047,15190,1353512,1291371,874005,828987,263393,256466,12323,11728,99278,93859,4068,3914,100445,96417,966919,918141,319830,310749,27227,26099,137894,130801,10357,9911,510996,492775,412956,398605,38964,37781,21665,20861,7853,7378,3281,3011,26277,25139,436587,421218,52682,50924,30432,29269,16028,15162,5690,5279
R,7,2023,1,3694222,1887461,1806761,1300130,1240285,305271,297286,34660,33258,111521,105582,7509,7108,128370,123242,1418180,1353591,376237,365534,58628,56342,159015,151039,16317,15482,1369392,1307018,881783,836466,265735,258965,12441,11839,103537,98017,4206,4020,101690,97711,975829,926803,322763,313858,27494,26365,142756,135601,10583,10096,518069,499743,418347,403819,39536,38321,22219,21419,7984,7565,3303,3088,26680,25531,442351,426788,53474,51676,31134,29977,16259,15438,5734,5386
R,7,2023,2,3611883,1847159,1764724,1266341,1204770,303006,294313,34068,32848,111685,105965,7063,6614,124996,120214,1381278,1315285,372065,360846,57381,55349,157995,150370,15625,14777,1346536,1281900,861728,814643,265131,257558,12395,11918,104025,98527,4158,3891,99099,95363,953366,902799,320637,311077,27054,26087,142336,135287,10366,9826,500623,482824,404613,390127,37875,36755,21673,20930,7660,7438,2905,2723,25897,24851,427912,412486,51428,49769,30327,29262,15659,15083,5259,4951
R,7,2023,3,3747807,1915584,1832223,1324796,1264353,303424,294467,35932,34369,118797,112300,7161,6769,125474,119965,1440190,1374664,372847,360962,59162,56681,165328,156616,15744,14904,1410946,1347502,914587,869852,267255,259764,13735,13241,110978,104877,4414,4109,99977,95659,1007019,958264,323275,313488,28484,27422,149659,141754,10718,10092,504638,484721,410209,394501,36169,34703,22197,21128,7819,7423,2747,2660,25497,24306,433171,416400,49572,47474,30678,29259,15669,14862,5026,4812
R,7,2023,4,3808594,1944687,1863907,1348099,1288027,305855,298946,36752,35247,120992,114494,7407,6958,125582,120235,1463519,1398540,375268,365570,60113,57737,167572,158836,16006,15104,1431306,1368159,930208,883858,269433,263724,14306,13833,112889,106815,4554,4286,99916,95643,1022507,972219,325301,317413,29129,28101,151627,143648,10885,10280,513381,495748,417891,404169,36422,35222,22446,21414,8103,7679,2853,2672,25666,24592,441012,426321,49967,48157,30984,29636,15945,15188,5121,4824
R,7,2023,5,3896077,1991400,1904677,1379534,1315921,312556,305257,37407,35256,126633,118898,7486,7067,127784,122278,1496972,1428292,382845,372856,61198,58141,174261,164095,16290,15405,1470842,1402868,954020,905175,276903,270705,14329,13836,118780,111300,4726,4412,102084,97440,1048300,995154,333706,325256,29488,28393,158589,148965,11255,10559,520558,501809,425514,410746,35653,34552,23078,21420,7853,7598,2760,2655,25700,24838,448672,433138,49139,47600,31710,29748,15672,15130,5035,4846
R,7,2023,6,3972997,2032840,1940157,1413673,1345441,313237,304906,36518,35307,133009,124638,7659,7222,128744,122643,1531907,1458136,383076,372159,60746,58566,181723,170220,16705,15679,1503190,1429851,976745,924831,278106,270796,15403,14767,125136,117157,4926,4567,102874,97733,1071639,1015049,334419,325027,30967,29630,165959,155167,11678,10817,529650,510306,436928,420610,35131,34110,21115,20540,7873,7481,2733,2655,25870,24910,460268,443087,48657,47132,29779,28936,15764,15053,5027,4862
R,7,2023,7,4075558,2082645,1992913,1464533,1395357,314044,308013,36080,34719,130496,123136,7517,7231,129975,124457,1583982,1509751,384340,375838,60917,58526,179433,169498,16631,15851,1539963,1470991,1013404,961518,279516,274448,15926,15321,122591,115726,4773,4600,103753,99378,1109195,1053297,336275,329237,31898,30641,163463,154459,11540,10997,542682,521922,451129,433839,34528,33565,20154,19398,7905,7410,2744,2631,26222,25079,474787,456454,48065,46601,29019,27885,15970,15039,5091,4854
R,7,2023,8,4110498,2099576,2010922,1473917,1407184,320085,312249,35772,34820,132756,125062,7418,7247,129628,124360,1593051,1521505,390243,379985,60679,58674,181368,171364,16512,15841,1557982,1487435,1023031,971904,285046,278096,16271,15596,125186,117796,4760,4638,103688,99405,1118744,1063706,341694,332853,32403,30971,165939,156539,11556,11054,541594,523487,450886,435280,35039,34153,19501,19224,7570,7266,2658,2609,25940,24955,474307,457799,48549,47132,28276,27703,15429,14825,4956,4787
